1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
27,1,13.2131327724194,4.20235072487691,36.9461465099452,467.975342465753,3.66188194337054,305.830788407604,275,192.975342465753,30.8307884076036
28,2,20.7207822419423,3.23523439367236,55.8970212856914,502.14590747331,3.71465649767957,379.466735324408,275,227.14590747331,104.466735324408
29,1,12.4845510960471,15.1975423475,32.7437957850683,0,3.55427292304958,282.435654008439,275,-275,7.4356540084388
30,1,10.2714727950097,3.74181913858903,27.9772938669887,367.110769230769,3.58238451406647,286.59012345679,275,92.1107692307692,11.5901234567901
31,1,12.1189173470967,20.8966207278126,31.615493398663,0,3.47194085237705,328.314275309541,275,-275,53.3142753095411
32,1,21.2933105271477,6.62014155288828,58.8213968586195,580.975652173913,3.68047359650135,381.691720493247,275,305.975652173913,106.691720493247
33,1,10.8945920860959,4.9852544215663,29.6812607362539,341.674364896074,3.56780142959261,285.16330488751,275,66.6743648960739,10.1633048875097
34,1,13.6669884920917,4.30597033179168,36.3589687374281,423.57486631016,3.48887370491188,308.359721342622,275,148.57486631016,33.3597213426219
35,1,13.4428334061847,4.24840388350569,36.4856149236573,480.227642276423,3.59997670024652,313.668034080151,275,205.227642276423,38.6680340801515
36,1,11.5311462109984,3.56911979373107,29.6927740259111,385.861290322581,3.40198344140315,283.917797595967,275,110.861290322581,8.91779759596744
37,1,11.4282557367132,10.0856417397046,29.6582341569395,0,3.4747204196,271.290372670807,275,-275,-3.70962732919253
38,2,20.5814471807542,5.83723785619888,55.0795777200305,403.751479289941,3.55830346776777,330.716764214047,275,128.751479289941,55.7167642140468
39,1,16.2474171941186,4.32899691110607,44.1304392560361,477.757978723404,3.69259595715353,322.125489172972,275,202.757978723404,47.1254891729716
40,1,17.0893744649784,5.03130758019509,44.6600505802672,594.983981693364,3.65045149391444,333.806651198763,275,319.983981693364,58.8066511987626
41,1,16.7116823562407,4.67439560082198,45.3163080907274,544.738916256158,3.65549296716047,317.955792682927,275,269.738916256158,42.9557926829268
42,1,20.6358977439155,40.0086815587596,58.2342190861024,0,3.74025122656101,294.808422301305,275,-275,19.8084223013049
43,1,9.47471768446337,17.7189527824262,26.8144516116118,0,3.75174935224918,292.969514813225,275,-275,17.9695148132246
44,1,19.7473622921436,6.82738076671782,52.3279014919604,562.401349072513,3.54729036499483,354.035643564356,275,287.401349072513,79.0356435643565
45,1,11.9481612452988,20.1943100587235,30.1072524535702,0,3.30824981044098,284.569024856597,275,-275,9.56902485659657
46,1,15.5882664445291,4.24840388350569,39.156698124127,543.216802168022,3.39238627030478,319.74595707145,275,268.216802168022,44.7459570714496
47,1,12.2511227353979,4.69742218013638,33.7454519852444,368.683823529412,3.5969918780116,306.782326850904,275,93.6838235294118,31.7823268509042
48,1,14.3320791073777,27.6318951772728,41.7356750073391,0,3.83100267082263,278.606068965517,275,-275,3.60606896551724
49,1,14.1873444657969,4.68590889047918,37.0843059858315,535.272727272727,3.38410105359054,331.196522819,275,260.272727272727,56.1965228190003
50,1,12.2952690844275,4.19083743521971,33.6418323783296,363.848901098901,3.61070503011734,279.420260095825,275,88.8489010989011,4.4202600958248
51,2,18.9226247163445,4.05267795933334,50.3706422502369,479.3125,3.60011923922856,348.793142857143,275,204.3125,73.7931428571429
52,1,17.9075334083622,6.06750364934282,48.0679843187975,565.324478178368,3.55498582510667,360.94371257485,275,290.324478178368,85.9437125748503
53,1,16.2455626504425,5.05433415950948,44.1649791250077,550.480637813212,3.61019410065103,320.928050052138,275,275.480637813212,45.9280500521376
54,1,21.0215435643999,36.7273940064584,57.6930944722142,0,3.64723280401752,305.380163639992,275,-275,30.380163639992
55,1,9.27634126109908,3.26977426264395,23.844022880055,403.711267605634,3.39637297433409,321.620956059874,275,128.711267605634,46.6209560598745
56,1,12.6381311375185,3.8339254558466,33.4345931645001,494.771771771772,3.50732055291638,348.174586776859,275,219.771771771772,73.1745867768595
57,1,12.9586016428234,4.29445704213448,34.3326297577615,409.445040214477,3.50157976803295,302.415492957746,275,134.445040214477,27.4154929577465
58,1,16.9649647989811,4.75498862842236,43.3360222696895,586.760290556901,3.40421221400556,342.056854410202,275,311.760290556901,67.0568544102019
59,1,12.1063477639198,4.00662480070456,29.9115265293978,394.097701149425,3.28830175019213,320.798691301001,275,119.097701149425,45.7986913010008
60,1,18.7069096053373,5.3651929802538,47.9183115532539,708.049356223176,3.48186056488139,367.331331090822,275,433.049356223176,92.3313310908217
61,1,13.041344948101,3.69576597996024,36.2668624201706,514.878504672897,3.65560242897697,318.66126984127,275,239.878504672897,43.6612698412698
62,1,20.4050380634522,6.25171628385797,55.2062239062596,756.421731123389,3.55505007947348,383.657142857143,275,481.421731123389,108.657142857143
63,1,11.8469059996664,4.68590889047918,30.2569252191137,366.356265356265,3.54271033808076,300.075722983257,275,91.3562653562653,25.0757229832572
64,1,12.8421825419893,4.91617468362312,32.9164951299262,320.985948477752,3.37351031315804,269.2913606156,275,45.9859484777518,-5.70863938440016
65,1,21.5779881213786,7.51817814614964,56.7259781410096,520.842266462481,3.61821431857606,363.117515729653,275,245.842266462481,88.117515729653
66,1,12.202977757857,13.6662748230928,31.4888472124338,0,3.42488761987336,290.269104204753,275,-275,15.2691042047532
67,1,14.550784427456,19.7337784724357,38.2932013998372,0,3.46181480163965,335.712868310283,275,-275,60.7128683102826
68,1,12.8897489714269,3.93754506276137,35.8293574131971,459.970760233918,3.68323616206417,302.04498714653,275,184.970760233918,27.0449871465295
69,1,18.7402045262151,5.11190060779547,49.2423398638316,552.29954954955,3.46732597516677,325.662613981763,275,277.29954954955,50.6626139817629
70,1,20.4313387122451,6.21717641488638,55.3098435131744,619.662962962963,3.58931834550089,417.555995004163,275,344.662962962963,142.555995004163
71,1,11.7728003917633,3.61517295235986,28.8407905912785,404.328025477707,3.22758777756299,294.735329341317,275,129.328025477707,19.7353293413174
72,1,18.0336896568023,4.76650191807956,48.6897019602861,574.386473429952,3.59244619918438,309.641286356113,275,299.386473429952,34.6412863561126
73,1,13.5050962640216,4.45564309733524,33.2043273713562,357.708010335917,3.29197921041021,301.441747572816,275,82.7080103359173,26.4417475728155
74,1,18.8571341766429,4.25991717316289,47.9298248429111,474.983783783784,3.40109515602249,334.564016334374,275,199.983783783784,59.5640163343742
75,1,20.5312018269866,38.5464937722956,58.6832373827331,0,3.76959014858468,270.370021581322,275,-275,-4.62997841867764
76,1,12.9643073113288,4.04116466967615,35.3112593786232,448.22792022792,3.59305836527815,307.95272253016,275,173.22792022792,32.9527225301597
77,1,18.9969199308846,4.85860823533713,49.9331372432634,656.850710900474,3.44973165698026,341.951579432788,275,381.850710900474,66.9515794327876
78,2,21.6799747776449,18.7896887205455,56.2539332650645,0,3.64147236139332,326.011665984445,275,-275,51.0116659844454
79,1,15.226350722926,4.08721782830494,40.3655935381327,586.839436619718,3.4983179551707,324.784084426697,275,311.839436619718,49.7840844266971
80,1,12.3101777608315,20.8505675691838,33.4691330334717,0,3.60614297796845,306.570347437221,275,-275,31.5703474372205
81,1,15.3505308993437,4.36353678007766,39.5826898414433,559.87598944591,3.40377621958828,325.758289703316,275,284.87598944591,50.7582897033159
82,1,20.2557157932729,5.30762653196782,53.5137703266517,624.741865509761,3.49477674738999,317.599612736661,275,349.741865509761,42.5996127366609
83,1,22.7230053988769,4.49018296630683,45.7653263873581,589.11282051282,3.11268968972872,325.008050314465,275,314.11282051282,50.0080503144654
84,1,12.3424831964929,4.34051020076327,31.1549618123751,465.615384615385,3.33100920621072,340.39837398374,275,190.615384615385,65.3983739837398
85,2,21.8461473871753,15.4508347199584,60.3411510933695,0,3.7233332156888,327.607899255867,275,-275,52.6078992558672
86,1,20.0997714051179,8.39318816009661,52.4775742575039,602.879286694102,3.4776791081077,371.375603334796,275,327.879286694102,96.375603334796
87,1,10.2629379850496,16.6597301339641,27.5743287289868,0,3.55929463922019,311.018371607516,275,-275,36.0183716075156
88,1,11.9824770334273,7.13823958746214,32.3523439367236,0,3.57568323383969,297.05231316726,275,-275,22.0523131672598
